model,label_frac,seed,n,threshold,accuracy,f1,precision,sensitivity,brier,ece,tn,fp,fn,tp,specificity,auroc,auprc,patient_n,patient_threshold,patient_accuracy,patient_f1,patient_precision,patient_sensitivity,patient_brier,patient_ece,patient_tn,patient_fp,patient_fn,patient_tp,patient_specificity,patient_auroc,patient_auprc
dinov2_vits14,0.1,2,1600,0.5,0.840625,0.7666971637694419,0.7632058287795993,0.7702205882352942,0.11683305769307242,0.04243364852416562,926,130,125,419,0.8768939393939394,0.9052264371657754,0.8150536321281788,32,0.5,0.8125,0.7,0.6363636363636364,0.7777777777777778,0.10603265377622278,0.19203369162222814,19,4,2,7,0.8260869565217391,0.9323671497584541,0.8388278388278387
dinov2_vits14,0.1,1,1600,0.5,0.84,0.7773913043478261,0.7376237623762376,0.8216911764705882,0.12831475124917133,0.08326200282230273,897,159,97,447,0.8494318181818182,0.8878345727495545,0.7774519012077813,32,0.5,0.875,0.8,0.7272727272727273,0.8888888888888888,0.13875827268447816,0.22102814689687605,20,3,1,8,0.8695652173913043,0.855072463768116,0.6795695045695046
dinov2_vits14,0.1,0,1600,0.5,0.796875,0.7372675828617623,0.658008658008658,0.8382352941176471,0.16120179608059457,0.1238981441676151,819,237,88,456,0.7755681818181818,0.8470748384581106,0.6720464314677149,32,0.5,0.8125,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.17144791117200575,0.20445363067958214,18,5,1,8,0.782608695652174,0.826086956521739,0.6847883597883597
dinov2_vits14,1.0,2,1600,0.5,0.7675,0.6809605488850772,0.6382636655948553,0.7297794117647058,0.16269251097724535,0.06920845324639233,831,225,147,397,0.7869318181818182,0.8344265262923353,0.6557538802156906,32,0.5,0.78125,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.14718915290545992,0.16814903656949035,18,5,2,7,0.782608695652174,0.8502415458937198,0.7659259259259259
dinov2_vits14,1.0,1,1600,0.5,0.7375,0.559748427672956,0.651219512195122,0.49080882352941174,0.1776449824764126,0.07471442609064981,913,143,277,267,0.8645833333333334,0.7955816204322638,0.6239178581900343,32,0.5,0.78125,0.5882352941176471,0.625,0.5555555555555556,0.13667218806091136,0.16349814701071688,20,3,4,5,0.8695652173913043,0.8357487922705314,0.7649470899470898
dinov2_vits14,1.0,0,1600,0.5,0.786875,0.7092924126172208,0.6613672496025437,0.7647058823529411,0.1579644082259292,0.11744237177772447,843,213,128,416,0.7982954545454546,0.8584071412655971,0.6740053066068892,32,0.5,0.6875,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.18567556411164401,0.18081960754320534,16,7,3,6,0.6956521739130435,0.7971014492753623,0.6474009096816115
dinov2_vits14,0.05,2,1600,0.5,0.340625,0.507239607659972,0.3400125234815279,0.9981617647058824,0.5219185675673428,0.556255468800664,2,1054,1,543,0.001893939393939394,0.6887811942959001,0.5223172801213576,32,0.5,0.28125,0.43902439024390244,0.28125,1.0,0.5532806942069627,0.6167265459797847,0,23,0,9,0.0,0.6570048309178744,0.4877314814814815
dinov2_vits14,0.05,1,1600,0.5,0.73375,0.5705645161290323,0.6316964285714286,0.5202205882352942,0.21763967248226748,0.19513556317636585,891,165,261,283,0.84375,0.7927128592914439,0.6751660995805367,32,0.5,0.8125,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14222349336674178,0.1946491024077699,20,3,3,6,0.8695652173913043,0.8454106280193237,0.7805283224400872
dinov2_vits14,0.05,0,1600,0.5,0.806875,0.6764397905759162,0.7858880778588808,0.59375,0.14361865454840106,0.09836505647792364,968,88,221,323,0.9166666666666666,0.874728442513369,0.731225761193252,32,0.5,0.8125,0.625,0.7142857142857143,0.5555555555555556,0.1495106390326854,0.15697736718838015,21,2,4,5,0.9130434782608695,0.8309178743961352,0.700998075998076
dinov2_vits14,0.5,2,1600,0.5,0.786875,0.6792097836312324,0.6955684007707129,0.6636029411764706,0.14790593865019527,0.0664980637592089,898,158,183,361,0.8503787878787878,0.8655564143270944,0.697804879902932,32,0.5,0.84375,0.7368421052631579,0.7,0.7777777777777778,0.1303626046304878,0.11597683651400892,20,3,2,7,0.8695652173913043,0.8888888888888888,0.7722222222222223
dinov2_vits14,0.5,1,1600,0.5,0.785,0.6923076923076923,0.6742160278745645,0.7113970588235294,0.14550028939047116,0.0622988003876526,869,187,157,387,0.8229166666666666,0.859610001671123,0.7527712780592364,32,0.5,0.84375,0.7368421052631579,0.7,0.7777777777777778,0.13150674733683018,0.21884795594108414,20,3,2,7,0.8695652173913043,0.893719806763285,0.8
dinov2_vits14,0.5,0,1600,0.5,0.81875,0.7665056360708534,0.6819484240687679,0.875,0.13643195455122947,0.12261457119166153,834,222,68,476,0.7897727272727273,0.8859232258244207,0.6751874669142562,32,0.5,0.75,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.16218271521879335,0.24431747108020302,16,7,1,8,0.6956521739130435,0.8647342995169082,0.6293971460638127
resnet50,0.25,2,1600,0.5,0.784375,0.6349206349206349,0.7481296758104738,0.5514705882352942,0.17891833961994838,0.17493312442675235,955,101,244,300,0.9043560606060606,0.8807444852941176,0.7766478863152168,32,0.5,0.78125,0.5882352941176471,0.625,0.5555555555555556,0.17974667749896373,0.2371564513432005,20,3,4,5,0.8695652173913043,0.8840579710144927,0.7531255237137591
resnet50,0.25,1,1600,0.5,0.7175,0.5221987315010571,0.6144278606965174,0.4540441176470588,0.17816486176607418,0.13605697691906243,901,155,297,247,0.853219696969697,0.8142790496880571,0.6170266351624842,32,0.5,0.71875,0.47058823529411764,0.5,0.4444444444444444,0.18761909675391847,0.17275383541463254,19,4,5,4,0.8260869565217391,0.7536231884057971,0.4490111195993549
resnet50,0.25,0,1600,0.5,0.649375,0.2978723404255319,0.4666666666666667,0.21875,0.25190804077912793,0.22917797826543393,920,136,425,119,0.8712121212121212,0.7661332999108733,0.4973532612300827,32,0.5,0.65625,0.26666666666666666,0.3333333333333333,0.2222222222222222,0.24974774849322873,0.2521501034486346,19,4,7,2,0.8260869565217391,0.6521739130434783,0.3750373482726424
resnet50,1.0,0,1672,0.5,0.9832535885167464,0.9732824427480916,0.9714285714285714,0.9751434034416826,0.012523172261689478,0.011383585096453167,1134,15,13,510,0.9869451697127938,0.9991954097585896,0.9983099045649696,199,0.5,0.9899497487437185,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.005309085383396372,0.012307266099844942,141,1,1,56,0.9929577464788732,0.9998764516926119,0.9996975196612222
